,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,punta gorda,26.93,-82.05,85.99999999999994,74,20,3.3777738010021476,US,1593006465
135,sitka,57.05,-135.33,49.99999999999994,81,90,0.6934502505368647,US,1593006547
136,vao,-22.67,167.48,70.57400000000001,70,6,12.68342877594846,NC,1593006547
137,gunjur,13.2,-16.73,91.39999999999992,63,75,11.050465282748748,GM,1593006547
138,ribeira grande,38.52,-28.7,67.99999999999994,68,20,10.28990694345025,PT,1593006547
139,moussoro,13.64,16.49,108.12200000000001,7,59,4.787043664996421,TD,1593006547
140,los altos,37.39,-122.11,62.599999999999966,82,75,4.6975662133142455,US,1593006362
141,nuuk,64.18,-51.72,39.19999999999993,93,75,6.9345025053686475,GL,1593006547
142,mangrol,21.12,70.12,87.44,72,12,9.596456692913385,IN,1593006547
143,port hedland,-20.32,118.57,62.599999999999966,88,0,2.2369362920544025,AU,1593006547
144,craig,40.52,-107.55,55.39999999999992,76,20,5.346277738010022,US,1593006548
145,derzhavinsk,51.1,66.32,76.334,28,81,12.795275590551181,KZ,1593006548
146,sambava,-14.27,50.17,75.25399999999996,74,2,16.79939155332856,MG,1593006548
148,nemuro,43.32,145.57,50.10799999999995,91,100,4.518611309949892,JP,1593006548
149,karratha,-20.74,116.85,70.68199999999996,69,0,6.06209735146743,AU,1593006548
150,salt,32.04,35.73,84.19999999999999,32,0,16.1059413027917,JO,1593006300
152,baruun-urt,46.68,113.28,63.03199999999998,62,65,16.35200429491768,MN,1593006548
153,taguatinga,-12.39,-46.57,84.46999999999997,45,0,8.299033643521833,BR,1593006549
155,la ciotat,43.17,5.6,87.00799999999998,37,0,8.992483894058696,FR,1593006549
156,bria,6.54,21.99,83.62399999999997,69,0,4.719935576234788,CF,1593006549
157,faanui,-16.48,-151.75,78.97999999999996,85,87,11.67680744452398,PF,1593006549
158,constitucion,-35.33,-72.42,50.089999999999975,77,100,10.043843951324266,CL,1593006549
159,mount isa,-20.73,139.5,58.99999999999994,26,0,8.05297065139585,AU,1593006549
160,bandipur,27.93,84.42,74.714,87,80,1.744810307802434,NP,1593006549
161,yumaguzino,52.9,56.39,64.34600000000006,68,79,8.410880458124552,RU,1593006549
162,knysna,-34.04,23.05,84.19999999999999,17,0,9.171438797423049,ZA,1593006549
163,arraial do cabo,-22.97,-42.03,76.99999999999994,53,20,11.40837508947745,BR,1593006549
164,wertheim,49.76,9.51,78.00799999999998,41,0,6.755547602004295,DE,1593006549
165,vanavara,60.34,102.28,65.55200000000008,58,0,3.9593772369362923,RU,1593006549
166,vanimo,-2.67,141.3,79.88000000000005,83,57,7.180565497494632,PG,1593006550
167,fairbanks,64.84,-147.72,49.99999999999994,93,90,5.8160343593414465,US,1593006550
168,sao joao da barra,-21.64,-41.05,76.99999999999994,60,57,6.9345025053686475,BR,1593006550
169,chokurdakh,70.63,147.92,63.787999999999954,44,4,11.542591267000716,RU,1593006168
170,iqaluit,63.75,-68.51,39.19999999999993,93,75,5.8160343593414465,CA,1593006550
171,chumikan,54.72,135.31,40.35200000000003,96,93,8.746420901932714,RU,1593006550
172,san-pedro,4.75,-6.64,81.05000000000001,73,89,10.379384395132426,CI,1593006550
173,berlevag,70.86,29.09,49.99999999999994,87,75,18.342877594846097,NO,1593006550
174,tbilisskaya,45.36,40.19,83.04799999999994,63,100,0.5816034359341447,RU,1593006550
175,kislovodsk,43.91,42.72,89.59999999999997,31,75,8.94774516821761,RU,1593006550
176,jacksonville,30.33,-81.66,84.19999999999999,74,40,10.28990694345025,US,1593006479
177,oussouye,12.48,-16.55,94.99999999999994,56,75,4.6975662133142455,SN,1593006551
178,chernyshevskiy,63.01,112.47,57.05599999999998,93,30,4.675196850393701,RU,1593006551
179,sao miguel do araguaia,-13.28,-50.16,84.09199999999993,52,5,10.826771653543307,BR,1593006551
180,geraldton,-28.77,114.6,60.80000000000001,77,75,10.28990694345025,AU,1593006551
181,ostrovnoy,68.05,39.51,47.065999999999974,70,4,10.446492483894058,RU,1593006551
